sp,broods
Adelpha bredowii,2
Agraulis vanillae,3
Amblyscirtes nysa,2
Amblyscirtes tolteca,2
Anthocharis sara,1
Apodemia mormo,2
Apodemia palmeri,3
Asterocampa celtis,2
Asterocampa clyton,2
Asterocampa leilia,2
Atalopedes campestris,3
Atlides halesus,3
Atrytonopsis lunus,1
Autochton cellus,1
Battus philenor,3
Boloria epithore,1
Boloria kriemhild,1
Brephidium exile,3
Calephelis arizonensis,3
Calephelis nemesis,3
Calephelis wrighti,3
Callophrys dumetorum,1
Callophrys eryphon,1
Callophrys sheridanii,2
Callophrys spinetorum,2
Carterocephalus palaemon,1
Celastrina ladon,3
Celotes nessus,2
Cercyonis meadii,1
Cercyonis oetus,1
Cercyonis pegala,1
Cercyonis sthenele,1
Chlosyne acastus,1
Chlosyne californica,1
Chlosyne gabbii,1
Chlosyne gorgone,1
Chlosyne hoffmanni,1
Chlosyne lacinia,3
Chlosyne leanira,1
Chlosyne nycteis,1
Chlosyne palla,1
Codatractus arizonensis,1
Coenonympha tullia,2
Cogia hippalus,2
Colias alexandra,2
Colias cesonia,3
Colias eurydice,2
Colias eurytheme,3
Colias meadii,1
Colias philodice,3
Copaeodes aurantiacus,3
Cyllopsis pertepida,2
Cyllopsis pyracmon,2
Danaus gilippus,3
Danaus plexippus,3
Dymasia dymas,3
Emesis ares,1
Emesis zela,2
Epargyreus clarus,3
Erebia callias,1
Erebia epipsodea,1
Erora quaderna,2
Erynnis afranius,1
Erynnis funeralis,3
Erynnis icelus,1
Erynnis pacuvius,1
Erynnis persius,1
Erynnis propertius,1
Erynnis tristis,3
Euchloe ausonides,1
Euchloe hyantis,1
Euphilotes battoides,1
Euphilotes enoptes,1
Euphydryas chalcedona,1
Euphydryas editha,1
Euphyes vestris,2
Euptoieta claudia,3
Eurema mexicana,3
Eurema nicippe,3
Eurema proterpia,1
Everes amyntula,2
Everes comyntas,3
Glaucopsyche lygdamus,1
Glaucopsyche piasus,1
Habrodais grunus,1
Heliopetes ericetorum,2
Hemiargus ceraunus,3
Hemiargus isola,3
Hesperia comma,1
Hesperia juba,2
Hesperia lindseyi,1
Hesperia pahaska,1
Hesperia uncas,2
Hylephila phyleus,3
Hypaurotis crysalus,1
Junonia coenia,3
Kricogonia lyside,1
Leptotes marina,3
Lerodea eufala,3
Libytheana carinenta,3
Limenitis archippus,2
Limenitis arthemis,2
Limenitis lorquini,2
Limenitis weidemeyerii,1
Lycaeides idas,1
Lycaeides melissa,2
Lycaena arota,1
Lycaena editha,1
Lycaena gorgon,1
Lycaena helloides,3
Lycaena heteronea,1
Lycaena mariposa,1
Lycaena nivalis,1
Lycaena rubidus,1
Lycaena xanthoides,1
Megisto rubricata,1
Ministrymon leda,2
Nathalis iole,3
Neominois ridingsii,1
Neophasia menapia,1
Nymphalis antiopa,1
Nymphalis californica,1
Nymphalis milberti,1
Oarisma garita,1
Ochlodes agricola,1
Ochlodes sylvanoides,1
Oeneis chryxus,1
Oeneis nevadensis,1
Papilio eurymedon,2
Papilio indra,1
Papilio multicaudata,2
Papilio rutulus,2
Papilio zelicaon,3
Parnassius clodius,1
Phoebis agarithe,1
Phoebis sennae,3
Pholisora catullus,3
Phyciodes picta,2
Phyciodes texana,3
Phyciodes tharos,3
Pieris rapae,3
Piruna pirus,1
Plebejus icarioides,1
Plebejus saepiolus,1
Plebejus shasta,1
Poanes melane,2
Poanes taxiles,1
Polites mystic,1
Polites peckius,2
Polites sabuleti,3
Polygonia faunus,1
Polygonia gracilis,2
Polygonia oreas,2
Polygonia satyrus,1
Pontia beckerii,2
Pontia occidentalis,2
Pontia protodice,3
Pontia sisymbrii,1
Pyrgus ruralis,1
Pyrgus scriptura,3
Pyrrhopyge araxes,1
Satyrium behrii,1
Satyrium californica,1
Satyrium saepium,1
Satyrium sylvinus,1
Satyrium tetra,1
Speyeria adiaste,1
Speyeria aphrodite,1
Speyeria atlantis,1
Speyeria callippe,1
Speyeria coronis,1
Speyeria cybele,1
Speyeria edwardsii,1
Speyeria egleis,1
Speyeria hydaspe,1
Speyeria mormonia,1
Speyeria zerene,1
Staphylus ceos,2
Strymon melinus,3
Systasea zampa,2
Thorybes pylades,1
Thymelicus lineola,1
Urbanus dorantes,1
Vanessa annabella,2
Vanessa atalanta,2
Vanessa cardui,2
Vanessa virginiensis,3