sp,IniNatData,inFourthData,nameChange,newNamForiNat
Boloria chariclea,yes,no,no,Boloria chariclea
Deciduphagus augustinus,yes,no,no,Deciduphagus augustinus
Eresia aveyrana,yes,no,no,Eresia aveyrana
Euphilotes bernardino,yes,no,no,Euphilotes bernardino
Icaricia acmon,yes,no,no,Icaricia acmon
Icaricia lupini,yes,no,no,Icaricia lupini
Mitoura gryneus,yes,no,no,Callophrys gryneus
Mitoura siva,yes,no,no,Mitoura siva
Occidryas anicia,yes,no,no,Occidryas anicia
Occidryas colon,yes,no,no,Occidryas colon
Oeneis polixenes,yes,no,no,Oeneis polixenes
Papilio rumiko,yes,no,no,Papilio rumiko
Parnassius smintheus,yes,no,no,Parnassius smintheus
Pieris marginalis,yes,no,no,Pieris marginalis
Polygonia zephyrus,yes,no,no,Polygonia zephyrus
Texola perse,yes,no,no,Texola perse
Thecla iroides,yes,no,no,Thecla iroides
Zerynthia polyxena,yes,no,yes,Papilio polyxenes
Apodemia palmerii,yes,no,yes,Apodemia palmeri
Brephidium exilis,yes,no,yes,Brephidium exile
Incisalia eryphon,yes,no,yes,Callophrys eryphon
Cercyonis meadi,yes,no,yes,Cercyonis meadii
Thessalia leanira,yes,no,yes,Chlosyne leanira
Zerene cesonia,yes,no,yes,Colias cesonia
Zerene eurydice,yes,no,yes,Colias eurydice
Copaeodes aurantiaca,yes,no,yes,Copaeodes aurantiacus
Euptychia pyracmon,yes,no,yes,Cyllopsis pyracmon
Occidryas chalcedona,yes,no,yes,Euphydryas chalcedona
Occidryas editha,yes,no,yes,Euphydryas editha
Abaeis nicippe,yes,no,yes,Eurema nicippe
Pyrisitia proterpia,yes,no,yes,Eurema proterpia
Elkalyce comyntas,yes,no,yes,Everes comyntas
Echinargus isola,yes,no,yes,Hemiargus isola
Hesperia colorado,yes,no,yes,Hesperia comma
Limenitis bredowii,yes,no,yes,Adelpha bredowii
Limenitis weidermeyerii,yes,no,yes,Limenitis weidemeyerii
Plebejus anna,yes,no,no,Plebejus anna
Euptychia rubricata,yes,no,yes,Megisto rubricata
Aglais milberti,yes,no,yes,Nymphalis milberti
Melitaea texana,yes,no,yes,Phyciodes texana
Icaricia icarioides,yes,no,yes,Plebejus icarioides
Icaricia saepiolus,yes,no,yes,Plebejus saepiolus
Icaricia shasta,yes,no,yes,Plebejus shasta
Paratrytone melane,yes,no,yes,Poanes melane
Apyrrothrix araxes,yes,no,yes,Pyrrhopyge araxes
Strymon saepium,yes,no,yes,Satyrium saepium
Strymon sylvinus,yes,no,yes,Satyrium sylvinus
Thecla tetra,yes,no,yes,Satyrium tetra