"","reps","median","low","up","prob"
"",32,-0.023,-0.058,0.014,0.896
"",32,-0.014,-0.054,0.027,0.752
"",32,-0.012,-0.053,0.028,0.723
"",32,-0.009,-0.043,0.025,0.686
"",32,-0.015,-0.049,0.021,0.81
"",32,-0.011,-0.047,0.023,0.731
"",32,-0.023,-0.063,0.017,0.872
"",32,-0.011,-0.055,0.032,0.7
"",32,-0.012,-0.048,0.023,0.758
"",32,-0.002,-0.039,0.034,0.546
"",32,-0.025,-0.064,0.017,0.894
"",32,-0.029,-0.071,0.014,0.912
"",32,-0.016,-0.06,0.028,0.762
"",32,-0.011,-0.052,0.031,0.698
"",32,-0.025,-0.068,0.016,0.889
"",32,-0.016,-0.057,0.022,0.802
"",32,-0.011,-0.044,0.025,0.73
"",32,-0.021,-0.056,0.015,0.877
"",32,-0.021,-0.062,0.02,0.85
"",32,-0.021,-0.064,0.021,0.841
"",32,-0.007,-0.048,0.035,0.628
"",32,-0.025,-0.066,0.015,0.891
"",32,-0.027,-0.069,0.013,0.906
"",32,-0.013,-0.051,0.022,0.764
"",32,-0.005,-0.041,0.03,0.615
"",32,0.012,-0.023,0.047,0.756
"",32,-0.01,-0.053,0.032,0.675
"",32,-0.01,-0.045,0.028,0.723
"",32,-0.017,-0.054,0.019,0.828
"",32,-0.032,-0.073,0.01,0.934
"",32,-0.025,-0.068,0.017,0.881
"",32,-0.014,-0.055,0.029,0.747
"",32,0.002,-0.033,0.04,0.554
"",32,0.001,-0.031,0.034,0.534
"",32,-0.013,-0.048,0.022,0.773
"",32,-0.016,-0.054,0.024,0.796
"",32,-0.009,-0.044,0.026,0.692
"",32,-0.021,-0.061,0.018,0.862
"",32,-0.004,-0.039,0.032,0.581
"",32,-0.012,-0.049,0.026,0.746
"",32,-0.015,-0.051,0.021,0.79
"",32,-0.001,-0.038,0.036,0.524
"",32,-0.01,-0.047,0.029,0.7
"",32,-0.01,-0.047,0.026,0.717
"",32,-0.022,-0.059,0.016,0.873
"",32,-0.02,-0.057,0.017,0.863
"",32,-0.012,-0.049,0.025,0.734
"",32,-0.019,-0.06,0.024,0.815
"",42,-0.021,-0.054,0.013,0.891
"",42,-0.019,-0.052,0.014,0.877
"",42,-0.013,-0.043,0.016,0.807
"",42,-0.012,-0.04,0.015,0.819
"",42,-0.012,-0.039,0.016,0.804
"",42,-0.013,-0.042,0.016,0.814
"",42,-0.012,-0.041,0.016,0.806
"",42,-0.019,-0.053,0.015,0.87
"",42,-0.024,-0.059,0.009,0.921
"",42,-0.008,-0.037,0.021,0.716
"",42,-0.011,-0.039,0.017,0.777
"",42,-0.011,-0.046,0.022,0.743
"",42,-0.013,-0.042,0.016,0.827
"",42,-0.026,-0.058,0.005,0.949
"",42,-0.019,-0.047,0.008,0.909
"",42,-0.025,-0.057,0.007,0.934
"",42,-0.02,-0.052,0.013,0.884
"",42,-0.024,-0.057,0.01,0.924
"",42,-0.013,-0.047,0.021,0.772
"",42,-0.018,-0.051,0.014,0.86
"",42,-0.021,-0.05,0.008,0.928
"",42,-0.025,-0.058,0.009,0.927
"",42,-0.02,-0.056,0.013,0.877
"",42,-0.018,-0.051,0.015,0.862
"",42,-0.027,-0.057,0.005,0.958
"",42,-0.007,-0.035,0.02,0.69
"",42,-0.027,-0.058,0.006,0.949
"",42,-0.032,-0.064,-0.001,0.978
"",42,-0.02,-0.049,0.009,0.919
"",42,-0.015,-0.044,0.015,0.844
"",42,-0.023,-0.054,0.007,0.933
"",42,-0.016,-0.049,0.018,0.836
"",42,-0.026,-0.058,0.007,0.945
"",42,-0.032,-0.066,0.001,0.969
"",42,-0.001,-0.029,0.028,0.515
"",42,-0.017,-0.047,0.011,0.877
"",42,-0.02,-0.052,0.013,0.889
"",42,-0.023,-0.055,0.011,0.911
"",42,-0.015,-0.043,0.013,0.854
"",42,-0.017,-0.047,0.012,0.874
"",42,-0.017,-0.049,0.016,0.849
"",42,-0.019,-0.052,0.014,0.875
"",42,-0.011,-0.038,0.016,0.795
"",42,-0.012,-0.037,0.014,0.815
"",42,-0.013,-0.045,0.019,0.79
"",42,-0.007,-0.036,0.021,0.679
"",42,-0.025,-0.059,0.008,0.931
"",42,-0.02,-0.053,0.011,0.899
"",42,-0.026,-0.058,0.007,0.946
"",42,-0.017,-0.051,0.018,0.837
"",42,-0.017,-0.048,0.016,0.851
"",42,-0.018,-0.051,0.015,0.859
"",42,-0.008,-0.034,0.02,0.721
"",42,-0.025,-0.057,0.008,0.937
"",42,-0.025,-0.059,0.006,0.937
"",42,-0.013,-0.045,0.017,0.805
"",42,-0.017,-0.046,0.011,0.889
"",42,-0.018,-0.051,0.015,0.86
"",42,-0.02,-0.047,0.007,0.928
"",42,-0.004,-0.031,0.024,0.599
"",42,-0.027,-0.062,0.008,0.938
"",42,-0.026,-0.059,0.008,0.939
"",42,-0.021,-0.052,0.009,0.916
"",42,-0.016,-0.05,0.018,0.821
"",42,-0.028,-0.06,0.003,0.958
"",42,-0.013,-0.047,0.02,0.792
"",42,-0.014,-0.043,0.015,0.823
"",42,-0.026,-0.058,0.006,0.944
"",42,-0.032,-0.063,0.001,0.974
"",42,-0.025,-0.056,0.006,0.945
"",42,-0.013,-0.041,0.012,0.839
"",42,-0.027,-0.057,0.006,0.952
"",42,-0.017,-0.049,0.017,0.839
"",42,-0.021,-0.054,0.012,0.89
"",42,-0.018,-0.051,0.016,0.852
"",42,-0.012,-0.044,0.019,0.771
"",42,-0.02,-0.052,0.014,0.874
"",42,-0.018,-0.046,0.009,0.9
"",42,-0.019,-0.052,0.013,0.881
"",42,-0.008,-0.037,0.019,0.712
"",42,-0.01,-0.041,0.02,0.753
"",42,-0.008,-0.034,0.018,0.732
"",42,-0.02,-0.052,0.013,0.888
"",42,-0.017,-0.05,0.017,0.839
"",42,-0.012,-0.04,0.016,0.796
"",42,-0.007,-0.034,0.021,0.685
"",42,-0.025,-0.06,0.008,0.927
"",42,-0.029,-0.06,0.002,0.964
"",42,-0.013,-0.042,0.018,0.803
"",42,-0.023,-0.057,0.009,0.92
"",42,-0.012,-0.044,0.019,0.775
"",42,-0.017,-0.052,0.015,0.845
"",42,-0.01,-0.043,0.021,0.74
"",42,-0.023,-0.055,0.01,0.916
"",42,-0.025,-0.057,0.008,0.933
"",42,-0.01,-0.04,0.019,0.745
"",42,-0.017,-0.048,0.013,0.869
"",42,-0.011,-0.041,0.018,0.785
"",42,-0.024,-0.057,0.008,0.924
"",42,-0.022,-0.055,0.01,0.912
"",52,-0.025,-0.053,0.003,0.961
"",52,-0.005,-0.028,0.017,0.686
"",52,-0.015,-0.041,0.011,0.878
"",52,-0.021,-0.048,0.008,0.932
"",52,-0.02,-0.047,0.009,0.919
"",52,-0.007,-0.032,0.016,0.731
"",52,-0.018,-0.045,0.009,0.903
"",52,-0.021,-0.045,0.003,0.953
"",52,-0.02,-0.046,0.007,0.926
"",52,-0.023,-0.051,0.003,0.954
"",52,-0.017,-0.044,0.011,0.89
"",52,-0.015,-0.038,0.01,0.89
"",52,-0.018,-0.045,0.009,0.901
"",52,-0.019,-0.047,0.009,0.906
"",52,-0.022,-0.05,0.005,0.943
"",52,-0.022,-0.049,0.006,0.942
"",52,-0.008,-0.032,0.015,0.752
"",52,-0.016,-0.044,0.012,0.868
"",52,-0.017,-0.04,0.006,0.924
"",52,-0.012,-0.04,0.015,0.804
"",52,-0.008,-0.036,0.019,0.728
"",52,-0.017,-0.045,0.013,0.881
"",52,-0.027,-0.053,0,0.978
"",52,-0.014,-0.037,0.01,0.871
"",52,-0.009,-0.033,0.013,0.772
"",52,-0.018,-0.045,0.011,0.891
"",52,-0.015,-0.042,0.01,0.871
"",52,-0.017,-0.045,0.009,0.9
"",52,-0.018,-0.045,0.01,0.894
"",52,-0.013,-0.041,0.014,0.836
"",52,-0.016,-0.043,0.01,0.878
"",52,-0.022,-0.048,0.003,0.956
"",52,-0.022,-0.05,0.005,0.942
"",52,-0.008,-0.033,0.017,0.739
"",52,-0.025,-0.052,0.002,0.964
"",52,-0.017,-0.044,0.01,0.891
"",52,-0.017,-0.044,0.01,0.891
"",52,-0.019,-0.047,0.008,0.918
"",52,-0.018,-0.044,0.009,0.907
"",52,-0.009,-0.036,0.017,0.762
"",52,-0.018,-0.046,0.008,0.902
"",52,-0.013,-0.04,0.016,0.81
"",52,-0.014,-0.036,0.008,0.9
"",52,-0.011,-0.035,0.013,0.819
"",52,-0.021,-0.049,0.006,0.934
"",52,-0.02,-0.047,0.007,0.925
"",52,-0.012,-0.039,0.015,0.813
"",52,-0.022,-0.048,0.006,0.946
"",52,-0.018,-0.045,0.01,0.9
"",52,-0.022,-0.049,0.005,0.946
"",52,-0.026,-0.053,0.001,0.971
"",52,-0.012,-0.038,0.015,0.808
"",52,-0.017,-0.045,0.01,0.897
"",52,-0.021,-0.048,0.005,0.937
"",52,-0.014,-0.039,0.011,0.857
"",52,-0.007,-0.031,0.018,0.719
"",52,-0.021,-0.048,0.005,0.942
"",52,-0.023,-0.049,0.004,0.955
"",52,-0.021,-0.048,0.006,0.935
"",52,-0.014,-0.041,0.014,0.836
"",52,-0.007,-0.028,0.017,0.719
"",52,-0.021,-0.048,0.007,0.928
"",52,-0.015,-0.044,0.012,0.859
"",52,-0.024,-0.051,0.004,0.954
"",52,-0.016,-0.044,0.011,0.886
"",52,-0.012,-0.038,0.013,0.834
"",52,-0.018,-0.045,0.008,0.91
"",52,-0.015,-0.039,0.008,0.9
"",52,-0.022,-0.048,0.004,0.953
"",52,-0.02,-0.048,0.008,0.925
"",52,-0.015,-0.043,0.012,0.865
"",52,-0.011,-0.035,0.014,0.814
"",52,-0.006,-0.029,0.017,0.688
"",52,-0.017,-0.045,0.01,0.886
"",52,-0.019,-0.043,0.005,0.937
"",52,-0.021,-0.048,0.005,0.943
"",52,-0.006,-0.03,0.019,0.679
"",52,-0.009,-0.033,0.016,0.763
"",52,-0.017,-0.045,0.011,0.882
"",52,-0.013,-0.038,0.014,0.845
"",52,-0.022,-0.05,0.006,0.94
"",52,-0.015,-0.04,0.012,0.872
"",52,-0.021,-0.048,0.007,0.935
"",52,-0.016,-0.043,0.011,0.885
"",52,-0.019,-0.046,0.008,0.918
"",52,-0.023,-0.051,0.004,0.951
"",52,-0.022,-0.049,0.006,0.942
"",52,-0.021,-0.048,0.005,0.94
"",52,-0.013,-0.038,0.012,0.85
"",52,-0.019,-0.046,0.008,0.918
"",52,-0.015,-0.042,0.012,0.864
"",52,-0.021,-0.045,0.002,0.963
"",52,-0.016,-0.042,0.01,0.889
"",52,-0.014,-0.039,0.01,0.88
"",52,-0.006,-0.03,0.019,0.685
"",52,-0.018,-0.046,0.01,0.9
"",52,-0.018,-0.044,0.009,0.912
"",52,-0.004,-0.03,0.023,0.622
"",52,-0.007,-0.031,0.016,0.726
"",52,-0.013,-0.038,0.011,0.865
"",62,-0.019,-0.042,0.005,0.94
"",62,-0.021,-0.044,0.001,0.965
"",62,-0.011,-0.032,0.009,0.852
"",62,-0.021,-0.044,0.003,0.959
"",62,-0.018,-0.042,0.006,0.938
"",62,-0.016,-0.04,0.007,0.917
"",62,-0.017,-0.04,0.006,0.926
"",62,-0.02,-0.043,0.003,0.953
"",62,-0.018,-0.04,0.005,0.94
"",62,-0.013,-0.034,0.008,0.891
"",62,-0.021,-0.044,0.002,0.958
"",62,-0.018,-0.042,0.005,0.938
"",62,-0.021,-0.044,0.002,0.966
"",62,-0.013,-0.037,0.01,0.858
"",62,-0.018,-0.041,0.006,0.937
"",62,-0.021,-0.045,0.002,0.962
"",62,-0.01,-0.031,0.011,0.834
"",62,-0.015,-0.036,0.005,0.929
"",62,-0.013,-0.033,0.007,0.898
"",62,-0.016,-0.039,0.007,0.917
"",62,-0.019,-0.041,0.005,0.944
"",62,-0.016,-0.039,0.007,0.916
"",62,-0.019,-0.043,0.004,0.945
"",62,-0.018,-0.041,0.007,0.928
"",62,-0.019,-0.042,0.005,0.942
"",62,-0.012,-0.033,0.01,0.868
"",62,-0.011,-0.034,0.011,0.84
"",62,-0.017,-0.039,0.006,0.928
"",62,-0.018,-0.041,0.006,0.933
"",62,-0.016,-0.039,0.007,0.911
"",62,-0.024,-0.047,-0.002,0.981
"",62,-0.019,-0.043,0.004,0.947
"",62,-0.021,-0.043,0.003,0.958
"",62,-0.016,-0.039,0.008,0.904
"",62,-0.016,-0.04,0.008,0.905
"",62,-0.012,-0.033,0.009,0.867
"",62,-0.021,-0.044,0.002,0.964
"",62,-0.017,-0.041,0.007,0.92
"",62,-0.02,-0.044,0.004,0.949
"",62,-0.014,-0.037,0.01,0.877
"",62,-0.016,-0.039,0.007,0.912
"",62,-0.018,-0.042,0.005,0.939
"",62,-0.013,-0.034,0.009,0.889
"",62,-0.019,-0.041,0.005,0.948
"",62,-0.018,-0.041,0.005,0.931
"",62,-0.02,-0.043,0.003,0.956
"",62,-0.011,-0.032,0.01,0.84
"",62,-0.012,-0.036,0.011,0.85
"",62,-0.014,-0.037,0.009,0.885
"",62,-0.019,-0.042,0.005,0.945
"",62,-0.012,-0.033,0.008,0.88
"",62,-0.016,-0.04,0.008,0.912
"",62,-0.015,-0.038,0.01,0.886
"",62,-0.018,-0.041,0.005,0.935
"",62,-0.014,-0.038,0.01,0.883
"",62,-0.014,-0.034,0.006,0.916
"",62,-0.014,-0.036,0.008,0.887
"",62,-0.012,-0.034,0.01,0.85
"",62,-0.018,-0.042,0.005,0.939
"",62,-0.015,-0.038,0.009,0.898
"",62,-0.019,-0.043,0.004,0.941
"",62,-0.013,-0.034,0.007,0.901
"",62,-0.02,-0.043,0.003,0.955
"",62,-0.015,-0.039,0.007,0.908
"",62,-0.02,-0.044,0.003,0.956
"",62,-0.018,-0.043,0.004,0.94
"",62,-0.008,-0.031,0.014,0.764
"",62,-0.016,-0.04,0.008,0.915
"",62,-0.018,-0.041,0.005,0.938
"",62,-0.008,-0.028,0.012,0.795
"",62,-0.019,-0.043,0.004,0.941
"",62,-0.02,-0.044,0.004,0.952
"",62,-0.017,-0.039,0.006,0.922
"",62,-0.012,-0.036,0.01,0.863
"",62,-0.021,-0.044,0.003,0.963
"",62,-0.014,-0.038,0.008,0.889
"",62,-0.017,-0.041,0.006,0.924
"",62,-0.021,-0.044,0.002,0.962
"",62,-0.015,-0.039,0.009,0.897
"",62,-0.018,-0.04,0.006,0.94
"",62,-0.021,-0.044,0.002,0.966
"",62,-0.017,-0.04,0.007,0.922
"",62,-0.016,-0.039,0.009,0.9
"",62,-0.014,-0.038,0.008,0.876
"",62,-0.008,-0.028,0.012,0.787
"",62,-0.015,-0.036,0.006,0.92
"",62,-0.019,-0.042,0.003,0.954
"",62,-0.016,-0.041,0.006,0.916
"",62,-0.016,-0.04,0.007,0.916
"",62,-0.014,-0.037,0.01,0.877
"",62,-0.011,-0.033,0.01,0.851
"",62,-0.012,-0.033,0.009,0.87
"",62,-0.019,-0.042,0.004,0.949
"",62,-0.012,-0.033,0.01,0.862
"",62,-0.019,-0.042,0.004,0.945
"",62,-0.02,-0.043,0.003,0.958
"",62,-0.017,-0.041,0.007,0.919
"",62,-0.023,-0.046,0,0.977
"",62,-0.016,-0.039,0.007,0.922
"",62,-0.016,-0.04,0.007,0.911
"resH",71,-0.016,-0.037,0.005,0.934
